[144841.0, 3717.52744, 'N', 12658.65224, 'E', 'A']
[144842.0, 3717.52746, 'N', 12658.65207, 'E', 'A']
[144843.0, 3717.5275, 'N', 12658.65185, 'E', 'A']
[144844.0, 3717.52752, 'N', 12658.65164, 'E', 'A']
[144845.0, 3717.52755, 'N', 12658.65144, 'E', 'A']
[144846.0, 3717.52759, 'N', 12658.65121, 'E', 'A']
[144847.0, 3717.52763, 'N', 12658.65096, 'E', 'A']
[144848.0, 3717.52766, 'N', 12658.6507, 'E', 'A']
[144849.0, 3717.52769, 'N', 12658.65044, 'E', 'A']
[144850.0, 3717.52773, 'N', 12658.65015, 'E', 'A']
[144851.0, 3717.52777, 'N', 12658.64984, 'E', 'A']
[144852.0, 3717.52781, 'N', 12658.64954, 'E', 'A']
[144853.0, 3717.52785, 'N', 12658.64925, 'E', 'A']
[144854.0, 3717.52789, 'N', 12658.64895, 'E', 'A']
[144855.0, 3717.52793, 'N', 12658.64868, 'E', 'A']
[144856.0, 3717.52796, 'N', 12658.64843, 'E', 'A']
[144857.0, 3717.528, 'N', 12658.64812, 'E', 'A']
[144858.0, 3717.52804, 'N', 12658.64782, 'E', 'A']
[144859.0, 3717.52808, 'N', 12658.64751, 'E', 'A']
[144900.0, 3717.52812, 'N', 12658.64717, 'E', 'A']
[144901.0, 3717.52815, 'N', 12658.64685, 'E', 'A']
[144902.0, 3717.52819, 'N', 12658.64653, 'E', 'A']
[144903.0, 3717.52823, 'N', 12658.64623, 'E', 'A']
[144904.0, 3717.52827, 'N', 12658.6459, 'E', 'A']
[144905.0, 3717.52831, 'N', 12658.64556, 'E', 'A']
[144906.0, 3717.52834, 'N', 12658.6452, 'E', 'A']
[144907.0, 3717.52839, 'N', 12658.64482, 'E', 'A']
[144908.0, 3717.52843, 'N', 12658.64446, 'E', 'A']
[144909.0, 3717.52848, 'N', 12658.64408, 'E', 'A']
[144910.0, 3717.52853, 'N', 12658.64373, 'E', 'A']
[144911.0, 3717.52857, 'N', 12658.64335, 'E', 'A']
[144912.0, 3717.52862, 'N', 12658.64297, 'E', 'A']
[144913.0, 3717.52866, 'N', 12658.64257, 'E', 'A']
[144914.0, 3717.52871, 'N', 12658.64217, 'E', 'A']
[144915.0, 3717.52875, 'N', 12658.64181, 'E', 'A']
[144916.0, 3717.5288, 'N', 12658.64144, 'E', 'A']
[144917.0, 3717.52883, 'N', 12658.64109, 'E', 'A']
[144918.0, 3717.52888, 'N', 12658.64075, 'E', 'A']
[144919.0, 3717.52893, 'N', 12658.64039, 'E', 'A']
[144920.0, 3717.52897, 'N', 12658.64005, 'E', 'A']
[144921.0, 3717.52902, 'N', 12658.63968, 'E', 'A']
[144922.0, 3717.52907, 'N', 12658.6393, 'E', 'A']
[144923.0, 3717.52911, 'N', 12658.63892, 'E', 'A']
