[93528.1, 'A', 3714.4535, 12646.4579, 44.999999869724476]
[93528.3, 'A', 3714.4537, 12646.458, 45.00000039082656]
[93528.5, 'A', 3714.4538, 12646.4581, 45.00000039082656]
[93528.7, 'A', 3714.454, 12646.4582, 44.99999973944896]
[93528.9, 'A', 3714.4542, 12646.4583, 45.00000039082656]
[93529.1, 'A', 3714.4544, 12646.4584, 44.999999869724476]
[93529.3, 'A', 3714.4546, 12646.4586, 44.99999973944896]
[93529.5, 'A', 3714.4548, 12646.4587, 44.999999869724476]
[93529.7, 'A', 3714.4551, 12646.4589, 44.99999973944896]
[93529.9, 'A', 3714.4553, 12646.459, 45.000000260551026]
[93530.1, 'A', 3714.4556, 12646.4592, 44.999999869724476]
[93530.3, 'A', 3714.4559, 12646.4594, 63.43494892714243]
[93530.5, 'A', 3714.4562, 12646.4595, 45.000000260551026]
[93530.7, 'A', 3714.4565, 12646.4597, 44.999999869724476]
[93530.9, 'A', 3714.4569, 12646.4599, 26.56505102074737]
[93531.1, 'A', 3714.4572, 12646.4601, 26.56505143762903]
[93531.3, 'A', 3714.4576, 12646.4602, 26.56505102074737]
[93531.5, 'A', 3714.458, 12646.4605, 33.69006732555591]
[93531.8, 'A', 3714.4584, 12646.4607, 26.56505102074737]
[93531.9, 'A', 3714.4587, 12646.4609, 33.690067566064556]
[93532.1, 'A', 3714.459, 12646.461, 26.56505102074737]
[93532.4, 'A', 3714.4596, 12646.4613, 45.000000260551026]
[93532.5, 'A', 3714.4599, 12646.4615, 33.69006736564069]
[93532.7, 'A', 3714.4602, 12646.4617, 44.99999973944896]
[93533.0, 'A', 3714.4609, 12646.462, 26.56505102074737]
[93533.2, 'A', 3714.4614, 12646.4622, 26.56505102074737]
[93533.3, 'A', 3714.4616, 12646.4623, 26.56505102074737]
[93533.5, 'A', 3714.462, 12646.4625, 26.56505102074737]
[93533.8, 'A', 3714.4628, 12646.4628, 18.43494871870159]
[93533.9, 'A', 3714.463, 12646.4629, 26.565051385518814]
[93534.1, 'A', 3714.4635, 12646.4631, 26.56505143762903]
[93534.3, 'A', 3714.464, 12646.4633, 26.56505102074737]
[93534.6, 'A', 3714.4647, 12646.4636, 26.56505102074737]
[93534.8, 'A', 3714.4653, 12646.4639, 18.434949031362834]
[93534.9, 'A', 3714.4655, 12646.464, 26.56505102074737]
[93535.2, 'A', 3714.4663, 12646.4643, 18.434948692646486]
[93535.4, 'A', 3714.4668, 12646.4646, 26.56505102074737]
[93535.6, 'A', 3714.4673, 12646.4648, 26.56505102074737]
[93535.8, 'A', 3714.4679, 12646.4651, 33.69006732555591]
[93536.0, 'A', 3714.4685, 12646.4653, 14.036243375967288]
[93536.2, 'A', 3714.469, 12646.4656, 33.690067566064556]
[93536.4, 'A', 3714.4695, 12646.4658, 26.56505102074737]
[93536.6, 'A', 3714.4701, 12646.466, 18.43494900530773]
[93536.8, 'A', 3714.4706, 12646.4663, 26.56505102074737]
[93537.0, 'A', 3714.4712, 12646.4665, 26.56505143762903]
[93537.2, 'A', 3714.4718, 12646.4668, 26.56505102074737]
[93537.4, 'A', 3714.4724, 12646.4671, 33.690067566064556]
[93537.6, 'A', 3714.473, 12646.4673, 18.43494900530773]
[93537.8, 'A', 3714.4736, 12646.4675, 18.434949031362834]
[93538.0, 'A', 3714.4742, 12646.4678, 33.690067566064556]
[93538.2, 'A', 3714.4748, 12646.468, 18.43494900530773]
[93538.4, 'A', 3714.4755, 12646.4683, 26.5650512291882]
[93538.6, 'A', 3714.4761, 12646.4685, 18.434949031362834]
[93538.8, 'A', 3714.4767, 12646.4687, 18.434948692646486]
[93539.0, 'A', 3714.4774, 12646.4689, 14.036243360640754]
[93539.2, 'A', 3714.478, 12646.4691, 18.43494900530773]
[93539.4, 'A', 3714.4787, 12646.4692, 14.036243375967288]
[93539.6, 'A', 3714.4794, 12646.4695, 26.565050994692264]
[93539.8, 'A', 3714.48, 12646.4696, 18.43494900530773]
[93540.0, 'A', 3714.4807, 12646.4698, 14.036243621191787]
[93540.2, 'A', 3714.4814, 12646.47, 14.036243375967288]
[93540.4, 'A', 3714.482, 12646.4702, 18.434948692646486]
[93540.6, 'A', 3714.4828, 12646.4704, 14.036243360640754]
[93540.8, 'A', 3714.4834, 12646.4705, 18.43494871870159]
[93541.0, 'A', 3714.4841, 12646.4707, 14.036243375967288]
[93541.2, 'A', 3714.4848, 12646.4708, 18.434948692646486]
[93541.4, 'A', 3714.4855, 12646.4709, 14.036243621191787]
[93541.6, 'A', 3714.4863, 12646.471, 11.309932393850659]
[93541.8, 'A', 3714.4869, 12646.471, 11.309932393850659]
[93542.0, 'A', 3714.4877, 12646.471, 11.309932393850659]
[93542.2, 'A', 3714.4884, 12646.471, 11.309932393850659]
