4.096324466666666791e+06,1.125746164000000060e+07
4.096324466666666791e+06,1.125746164000000060e+07
4.096324466666666791e+06,1.125746164000000060e+07
4.096324466666666791e+06,1.125746164000000060e+07
4.096324650000000373e+06,1.125746164000000060e+07
4.096324833333333489e+06,1.125746178799999878e+07
4.096324833333333489e+06,1.125746193600000069e+07
4.096325016666667070e+06,1.125746208399999887e+07
4.096325199999999721e+06,1.125746223200000077e+07
4.096325199999999721e+06,1.125746223200000077e+07
4.096325199999999721e+06,1.125746237999999896e+07
4.096325383333333768e+06,1.125746252799999900e+07
4.096325383333333768e+06,1.125746267600000091e+07
4.096325383333333768e+06,1.125746282399999909e+07
4.096325383333333768e+06,1.125746312000000104e+07
4.096325566666666418e+06,1.125746326799999923e+07
4.096325566666666418e+06,1.125746341600000113e+07
4.096325566666666418e+06,1.125746371199999936e+07
4.096325566666666418e+06,1.125746386000000127e+07
4.096325750000000000e+06,1.125746415600000136e+07
4.096325750000000000e+06,1.125746430399999954e+07
4.096325750000000000e+06,1.125746459999999963e+07
4.096325750000000000e+06,1.125746504399999976e+07
4.096325933333333116e+06,1.125746534000000171e+07
4.096325933333333116e+06,1.125746593200000003e+07
4.096325933333333116e+06,1.125746637599999830e+07
4.096326116666666698e+06,1.125746652400000021e+07
4.096326116666666698e+06,1.125746682000000030e+07
4.096326116666666698e+06,1.125746696800000034e+07
4.096326116666666698e+06,1.125746711599999852e+07
4.096326116666666698e+06,1.125746726400000043e+07
4.096326116666666698e+06,1.125746726400000043e+07
4.096326116666666698e+06,1.125746741200000048e+07
4.096326116666666698e+06,1.125746756000000238e+07
4.096326300000000279e+06,1.125746770800000057e+07
4.096326300000000279e+06,1.125746785600000061e+07
4.096326300000000279e+06,1.125746800400000066e+07
4.096326300000000279e+06,1.125746815200000070e+07
4.096326300000000279e+06,1.125746815200000070e+07
4.096326300000000279e+06,1.125746829999999888e+07
4.096326300000000279e+06,1.125746859599999897e+07
4.096326300000000279e+06,1.125746874400000088e+07
4.096326483333332930e+06,1.125746889199999906e+07
4.096326483333332930e+06,1.125746903999999911e+07
4.096326483333332930e+06,1.125746918800000101e+07
4.096326483333332930e+06,1.125746918800000101e+07
4.096326483333332930e+06,1.125746918800000101e+07
