[100602.9, 'A', 3714.4584, 12646.4608, 18.43494900530773]
[100603.0, 'A', 3714.4586, 12646.461, 44.99999980458672]
[100603.1, 'A', 3714.459, 12646.4611, 14.036243621191787]
[100603.2, 'A', 3714.4593, 12646.4612, 18.434948692646486]
[100603.3, 'A', 3714.4595, 12646.4613, 26.56505143762903]
[100603.4, 'A', 3714.4599, 12646.4615, 26.56505102074737]
[100603.5, 'A', 3714.4602, 12646.4616, 18.43494900530773]
[100603.6, 'A', 3714.4605, 12646.4617, 18.434948692646486]
[100603.7, 'A', 3714.4608, 12646.4619, 33.69006760614934]
[100603.8, 'A', 3714.4611, 12646.462, 18.434948692646486]
[100603.9, 'A', 3714.4615, 12646.4622, 26.5650512291882]
[100604.0, 'A', 3714.4617, 12646.4623, 26.56505102074737]
[100604.1, 'A', 3714.462, 12646.4624, 18.43494900530773]
[100604.2, 'A', 3714.4624, 12646.4626, 26.5650512291882]
[100604.3, 'A', 3714.4627, 12646.4627, 18.434948692646486]
[100604.4, 'A', 3714.463, 12646.4629, 33.690067566064556]
[100604.5, 'A', 3714.4633, 12646.463, 18.43494871870159]
[100604.6, 'A', 3714.4636, 12646.4632, 33.690067566064556]
[100604.7, 'A', 3714.4639, 12646.4633, 18.434948692646486]
[100604.8, 'A', 3714.4643, 12646.4635, 26.5650512291882]
[100604.9, 'A', 3714.4646, 12646.4636, 18.43494871870159]
[100605.0, 'A', 3714.4649, 12646.4637, 18.43494900530773]
[100605.1, 'A', 3714.4652, 12646.4639, 33.690067566064556]
[100605.2, 'A', 3714.4655, 12646.464, 18.43494871870159]
[100605.3, 'A', 3714.4659, 12646.4642, 26.565051203133095]
[100605.4, 'A', 3714.4662, 12646.4643, 18.43494871870159]
[100605.5, 'A', 3714.4666, 12646.4645, 26.565051203133095]
[100605.6, 'A', 3714.4669, 12646.4646, 18.43494871870159]
[100605.7, 'A', 3714.4671, 12646.4647, 26.56505143762903]
[100605.8, 'A', 3714.4675, 12646.4649, 26.565051203133095]
[100605.9, 'A', 3714.4678, 12646.465, 18.43494871870159]
[100606.0, 'A', 3714.4682, 12646.4652, 26.5650512291882]
[100606.1, 'A', 3714.4685, 12646.4654, 33.69006732555591]
[100606.2, 'A', 3714.4689, 12646.4656, 26.5650512291882]
[100606.3, 'A', 3714.4692, 12646.4657, 18.43494900530773]
[100606.4, 'A', 3714.4695, 12646.4658, 18.434948692646486]
[100606.5, 'A', 3714.4699, 12646.466, 26.5650512291882]
[100606.6, 'A', 3714.4702, 12646.4662, 33.690067566064556]
[100606.7, 'A', 3714.4706, 12646.4663, 14.036243375967288]
[100606.8, 'A', 3714.4708, 12646.4665, 45.00000006513776]
[100606.9, 'A', 3714.4712, 12646.4666, 14.036243375967288]
[100607.0, 'A', 3714.4715, 12646.4668, 33.690067566064556]
[100607.1, 'A', 3714.4718, 12646.4669, 18.43494871870159]
[100607.2, 'A', 3714.4722, 12646.4671, 26.565051203133095]
[100607.4, 'A', 3714.4729, 12646.4674, 33.690067566064556]
[100607.4, 'A', 3714.4729, 12646.4674, 33.690067566064556]
[100607.5, 'A', 3714.4733, 12646.4675, 14.036243621191787]
[100607.7, 'A', 3714.4739, 12646.4678, 18.43494900530773]
[100607.7, 'A', 3714.4739, 12646.4678, 18.43494900530773]
[100607.8, 'A', 3714.4743, 12646.468, 26.5650512291882]
[100608.0, 'A', 3714.475, 12646.4682, 14.036243375967288]
[100608.0, 'A', 3714.475, 12646.4682, 14.036243375967288]
[100608.2, 'A', 3714.4757, 12646.4685, 18.43494900530773]
[100608.2, 'A', 3714.4757, 12646.4685, 18.43494900530773]
[100608.3, 'A', 3714.4761, 12646.4687, 26.56505102074737]
[100608.5, 'A', 3714.4768, 12646.4689, 14.036243375967288]
[100608.6, 'A', 3714.4771, 12646.469, 18.434948692646486]
[100608.7, 'A', 3714.4775, 12646.4691, 14.036243621191787]
[100608.8, 'A', 3714.4778, 12646.4692, 18.434948692646486]
[100608.9, 'A', 3714.4782, 12646.4694, 26.5650512291882]
[100609.0, 'A', 3714.4786, 12646.4695, 14.036243375967288]
[100609.1, 'A', 3714.4789, 12646.4696, 18.43494900530773]
[100609.2, 'A', 3714.4793, 12646.4697, 14.036243375967288]
[100609.3, 'A', 3714.4797, 12646.4698, 14.036243621191787]
[100609.4, 'A', 3714.4801, 12646.4699, 14.036243360640754]
[100609.5, 'A', 3714.4804, 12646.4699, 14.036243360640754]
[100609.6, 'A', 3714.4808, 12646.47, 14.036243375967288]
[100609.7, 'A', 3714.4812, 12646.4701, 14.036243605865252]
[100609.8, 'A', 3714.4815, 12646.4702, 18.43494871870159]
[100609.9, 'A', 3714.482, 12646.4703, 11.309932594274542]
[100610.0, 'A', 3714.4823, 12646.4703, 11.309932594274542]
[100610.1, 'A', 3714.4827, 12646.4704, 14.036243375967288]
[100610.2, 'A', 3714.4831, 12646.4705, 14.036243375967288]
[100610.3, 'A', 3714.4835, 12646.4705, 14.036243375967288]
[100610.4, 'A', 3714.4838, 12646.4706, 18.43494900530773]
[100610.5, 'A', 3714.4842, 12646.4707, 14.036243375967288]
[100610.6, 'A', 3714.4846, 12646.4707, 14.036243375967288]
[100610.7, 'A', 3714.4849, 12646.4708, 18.434948692646486]
[100610.8, 'A', 3714.4854, 12646.4708, 18.434948692646486]
[100610.9, 'A', 3714.4857, 12646.4708, 18.434948692646486]
[100611.0, 'A', 3714.4861, 12646.4709, 14.036243621191787]
[100611.1, 'A', 3714.4866, 12646.4709, 14.036243621191787]
[100611.2, 'A', 3714.4869, 12646.4709, 14.036243621191787]
[100611.3, 'A', 3714.4872, 12646.4709, 14.036243621191787]
[100611.4, 'A', 3714.4877, 12646.4709, 14.036243621191787]
[100611.5, 'A', 3714.488, 12646.471, 18.43494871870159]
[100611.6, 'A', 3714.4885, 12646.471, 18.43494871870159]
[100611.7, 'A', 3714.4888, 12646.471, 18.43494871870159]
[100611.8, 'A', 3714.4893, 12646.471, 18.43494871870159]
[100611.9, 'A', 3714.4896, 12646.471, 18.43494871870159]
[100612.0, 'A', 3714.49, 12646.4711, 14.036243621191787]
[100612.1, 'A', 3714.4904, 12646.4711, 14.036243621191787]
[100612.2, 'A', 3714.4908, 12646.4711, 14.036243621191787]
[100612.3, 'A', 3714.4912, 12646.4711, 14.036243621191787]
[100612.4, 'A', 3714.4916, 12646.4711, 14.036243621191787]
[100612.5, 'A', 3714.4919, 12646.4712, 18.434948692646486]
[100612.6, 'A', 3714.4924, 12646.4712, 18.434948692646486]
[100612.7, 'A', 3714.4928, 12646.4712, 18.434948692646486]
[100612.8, 'A', 3714.4931, 12646.4712, 18.434948692646486]
[100612.9, 'A', 3714.4936, 12646.4712, 18.434948692646486]
[100613.0, 'A', 3714.494, 12646.4712, 18.434948692646486]
[100613.1, 'A', 3714.4943, 12646.4712, 18.434948692646486]
[100613.2, 'A', 3714.4947, 12646.4712, 18.434948692646486]
[100613.3, 'A', 3714.495, 12646.4712, 18.434948692646486]
[100613.4, 'A', 3714.4953, 12646.4713, 18.434948692646486]
[100613.5, 'A', 3714.4956, 12646.4713, 18.434948692646486]
[100613.6, 'A', 3714.4959, 12646.4713, 18.434948692646486]
[100613.7, 'A', 3714.4961, 12646.4713, 18.434948692646486]
[100613.8, 'A', 3714.4962, 12646.4713, 18.434948692646486]
[100613.9, 'A', 3714.4964, 12646.4713, 18.434948692646486]
[100614.0, 'A', 3714.4965, 12646.4713, 18.434948692646486]
[100614.1, 'A', 3714.4967, 12646.4713, 18.434948692646486]
[100614.2, 'A', 3714.4968, 12646.4713, 18.434948692646486]
[100614.3, 'A', 3714.4969, 12646.4713, 18.434948692646486]
[100614.4, 'A', 3714.4969, 12646.4713, 18.434948692646486]
[100614.5, 'A', 3714.497, 12646.4713, 18.434948692646486]
[100614.6, 'A', 3714.4971, 12646.4713, 18.434948692646486]
[100614.7, 'A', 3714.4971, 12646.4713, 18.434948692646486]
[100614.8, 'A', 3714.4971, 12646.4713, 18.434948692646486]
[100614.9, 'A', 3714.4972, 12646.4713, 18.434948692646486]
[100615.0, 'A', 3714.4972, 12646.4713, 18.434948692646486]
[100615.1, 'A', 3714.4972, 12646.4713, 18.434948692646486]
[100615.2, 'A', 3714.4972, 12646.4713, 18.434948692646486]
[100615.3, 'A', 3714.4973, 12646.4713, 18.434948692646486]
[100615.4, 'A', 3714.4973, 12646.4713, 18.434948692646486]
[100615.5, 'A', 3714.4973, 12646.4713, 18.434948692646486]
[100615.6, 'A', 3714.4973, 12646.4713, 18.434948692646486]
[100615.7, 'A', 3714.4973, 12646.4713, 18.434948692646486]
[100615.8, 'A', 3714.4973, 12646.4713, 18.434948692646486]
[100615.9, 'A', 3714.4973, 12646.4713, 18.434948692646486]
[100616.0, 'A', 3714.4973, 12646.4713, 18.434948692646486]
